名称,网址
北京大学,http://college.gaokao.com/school/1/
中国人民大学,http://college.gaokao.com/school/2/
清华大学,http://college.gaokao.com/school/3/
北京航空航天,http://college.gaokao.com/school/4/
北京理工大学,http://college.gaokao.com/school/5/
中国农业大学,http://college.gaokao.com/school/6/
北京师范大学,http://college.gaokao.com/school/7/
中央民族大学,http://college.gaokao.com/school/8/
南开大学,http://college.gaokao.com/school/9/
天津大学,http://college.gaokao.com/school/10/
大连理工大学,http://college.gaokao.com/school/11/
东北大学,http://college.gaokao.com/school/12/
吉林大学,http://college.gaokao.com/school/13/
哈尔滨工业大,http://college.gaokao.com/school/14/
复旦大学,http://college.gaokao.com/school/15/
同济大学,http://college.gaokao.com/school/16/
上海交通大学,http://college.gaokao.com/school/17/
华东师范大学,http://college.gaokao.com/school/18/
南京大学,http://college.gaokao.com/school/19/
东南大学,http://college.gaokao.com/school/20/
中国矿业大学,http://college.gaokao.com/school/21/
浙江大学,http://college.gaokao.com/school/22/
中国科学技术,http://college.gaokao.com/school/23/
厦门大学,http://college.gaokao.com/school/24/
山东大学,http://college.gaokao.com/school/25/
中国海洋大学,http://college.gaokao.com/school/26/
武汉大学,http://college.gaokao.com/school/27/
湖南大学,http://college.gaokao.com/school/28/
中山大学,http://college.gaokao.com/school/29/
华南理工大学,http://college.gaokao.com/school/30/
重庆大学,http://college.gaokao.com/school/31/
电子科技大学,http://college.gaokao.com/school/32/
西安交通大学,http://college.gaokao.com/school/33/
西北工业大学,http://college.gaokao.com/school/34/
兰州大学,http://college.gaokao.com/school/35/
四川大学,http://college.gaokao.com/school/36/
西北农林科技,http://college.gaokao.com/school/37/
中南大学,http://college.gaokao.com/school/38/
华中科技大学,http://college.gaokao.com/school/39/
东北大学秦皇,http://college.gaokao.com/school/40/
山东大学威海,http://college.gaokao.com/school/41/
哈尔滨工业大,http://college.gaokao.com/school/42/
北京交通大学,http://college.gaokao.com/school/43/
北京工业大学,http://college.gaokao.com/school/44/
北京科技大学,http://college.gaokao.com/school/45/
北京化工大学,http://college.gaokao.com/school/46/
北京邮电大学,http://college.gaokao.com/school/47/
北京林业大学,http://college.gaokao.com/school/48/
北京协和医学,http://college.gaokao.com/school/49/
北京中医药大,http://college.gaokao.com/school/50/
北京外国语大,http://college.gaokao.com/school/51/
中央财经大学,http://college.gaokao.com/school/52/
对外经济贸易,http://college.gaokao.com/school/53/
北京体育大学,http://college.gaokao.com/school/54/
中央音乐学院,http://college.gaokao.com/school/55/
中国政法大学,http://college.gaokao.com/school/56/
华北电力大学,http://college.gaokao.com/school/57/
华北电力大学,http://college.gaokao.com/school/58/
河北工业大学,http://college.gaokao.com/school/59/
太原理工大学,http://college.gaokao.com/school/60/
内蒙古大学,http://college.gaokao.com/school/61/
辽宁大学,http://college.gaokao.com/school/62/
大连海事大学,http://college.gaokao.com/school/63/
延边大学,http://college.gaokao.com/school/64/
东北师范大学,http://college.gaokao.com/school/65/
哈尔滨工程大,http://college.gaokao.com/school/66/
东北林业大学,http://college.gaokao.com/school/67/
华东理工大学,http://college.gaokao.com/school/68/
东华大学,http://college.gaokao.com/school/69/
上海中医药大,http://college.gaokao.com/school/70/
